test_dataset,risk_index,recommend_ratio,random_trials,recommended_modularity,random_mean_modularity,random_max_modularity,random_min_modularity,random_std_modularity,recommended_minus_random_mean,recommended_minus_random_max,recommended_rank_in_actual_tests,actual_test_count,recommended_alpha,recommended_beta,recommended_T,recommended_h,recommended_rho,recommended_lr,recommended_lam_sparse,recommended_batch_size,recommended_best_k,recommended_pred_score,recommended_stability_score,recommended_final_select_score,elapsed_seconds_for_dataset,plot_order
sociopatterns-hypertext,0.5,0.1,5,0.3731906952515059,0.1800930202853913,0.2150938806207791,0.1148471483100714,0.0399359476402246,0.1930976749661147,0.1580968146307268,1,6,0.9,0.09999999999999998,8,48,0.05,0.01,0.00066,32,4,0.8159649958279395,0.875,0.9375,1724.920063555241,0
adjnoun,0.5,0.1,5,0.2222366782006933,0.03769356401384095,0.1167916955017289,-0.004204844290657255,0.04728961174590304,0.1845431141868524,0.1054449826989645,1,6,0.9,0.09999999999999998,6,48,0.05,0.01,0.00033,16,4,0.9312822616332238,1.0,0.9660896222716168,1764.532110407948,1
synthetic_150_hub_modular,0.5,0.1,5,0.7606482350577058,0.5914242500553281,0.7426586184178753,0.144768002360548,0.2508137715343122,0.1692239850023778,0.01798961663983056,1,6,0.9,0.09999999999999998,6,48,0.05,0.01,0.00066,32,5,0.9600209154097658,0.875,0.9375,1854.317816551775,2
ia-workplace-contacts,0.5,0.1,5,0.5779410638274365,0.4169606027151581,0.5257864174260719,0.2890791966927925,0.0928842706843363,0.1609804611122784,0.05215464640136458,1,6,0.9,0.09999999999999998,6,32,0.05,0.01,0.00033,32,4,0.8517543344148922,0.75,0.875,1738.026759929955,3
chesapeake,0.5,0.1,5,0.2574913494809695,0.09804844290657631,0.2257958477508663,-0.002404844290655938,0.104828401904537,0.1594429065743931,0.03169550173010316,1,6,0.9,0.09999999999999998,6,48,0.05,0.01,0.0001,32,3,0.8922653305037381,0.875,0.924114330210495,793.9487787671387,4
lfr_like_1_normalized,0.5,0.1,5,0.3814306972225478,0.2305186134247554,0.3569567933511767,0.09987102809488585,0.1045780369339381,0.1509120837977924,0.02447390387137105,1,6,0.9,0.09999999999999998,6,48,0.05,0.02,0.00066,16,14,0.979231013156964,0.875,0.9375,5123.054957568645,5
er_sparse_normalized,0.5,0.1,5,0.2318843326394473,0.08328545788326322,0.1686656886688858,0.02814902309495319,0.06311767051590408,0.1485988747561841,0.06321864397056143,1,6,0.9,0.09999999999999998,6,48,0.05,0.01,0.00066,16,6,0.9344627792029255,0.75,0.875,3626.420092020184,6
soc-dolphins_normalized,0.5,0.1,5,0.4647165855780985,0.3745817016731908,0.4526521893912386,0.2587318539614719,0.07296224855572973,0.0901348839049077,0.01206439618685995,1,6,0.9,0.09999999999999998,6,32,0.05,0.01,0.0001,32,6,0.9578599512857524,0.875,0.932482145366637,1031.078021269292,7
ca-sandi_auths,0.5,0.1,5,0.5644444444444418,0.4830308641975288,0.5603703703703662,0.3588425925925938,0.07789449542003946,0.08141358024691298,0.004074074074075562,1,6,0.9,0.09999999999999998,6,32,0.05,0.01,0.00033,16,13,0.9443519948691707,1.0,0.9966226571440784,1347.419231761247,8
lesmis,0.5,0.1,5,0.458877900059493,0.3995489292088059,0.4583164782867359,0.2470248364069032,0.08763476590222824,0.05932897085068717,0.0005614217727571424,1,6,0.9,0.09999999999999998,6,16,0.05,0.01,0.00033,32,4,0.8662701215216584,1.0,0.9438208094777822,1280.276322543621,9
football,0.5,0.1,5,0.5963424337824501,0.5832059057559231,0.5953178681583564,0.5703224587445925,0.009388162228893125,0.01313652802652698,0.001024565624093698,1,6,0.9,0.09999999999999998,6,32,0.05,0.01,0.0001,32,9,0.9064285438173071,1.0,1.0,1515.821255851537,10
