feature,missing_count,mean,std,min,max
n,0,148.775,86.1112838432235,34.0,379.0
m,0,1710.525,2477.1985416481234,78.0,12048.0
density,0,0.17467987499999998,0.20491203327459218,0.01276,0.99084
isolated_nodes,0,0.675,3.189626615878095,0.0,20.0
avg_deg,0,21.9352073,27.96391606791809,2.822222,128.80916
deg_std,0,7.483506074999999,6.887228613048184,0.0,26.5709
deg_cv,0,0.512206575,0.330273666004956,0.0,1.569674
deg_skewness,0,0.8639709999999999,1.4789467782156536,-5.869478,2.966912
max_deg,0,51.45,42.199738728076845,8.0,139.0
edge_weight_sum,0,61110.93887317501,245030.12587709038,78.0,1117743.0
w_mean,0,79.96202960000001,467.3983958586388,0.054192,2959.299465
w_std,0,52.865993075000006,279.49337446706284,0.0,1769.707762
w_cv,0,1.612438125,3.64873029489593,0.0,17.31639
w_skewness,0,3.39576085,6.2589341612674065,-3.225734,24.677959
avg_strength,0,898.4176225000001,3669.5166756813705,0.924014,17064.778626
strength_std,0,630.283221825,2798.433032263997,0.0,16686.734778
strength_cv,0,0.9600707500000001,1.3123955031504706,0.0,7.407303
strength_skewness,0,1.327649575,1.3972924449950155,-1.951193,4.128223
max_strength,0,2981.709273075,12413.861356204148,8.0,69924.0
clustering,0,0.39034132499999996,0.22062450412669052,0.01993,0.991935
global_transitivity,0,0.347095275,0.19948323229412587,0.020532,0.991892
avg_second,0,56.963556874999995,47.79789344502834,1.19084,168.008264
second_first_ratio,0,3.756072675,2.097565125527293,0.009245,9.437912
two_hop_coverage,0,0.53563345,0.3348999598547533,0.041394,1.0
avg_common_neighbor_local,0,12.7901816,23.32166088736726,0.104139,126.848406
positive_cn_pair_ratio,0,0.5690608500000001,0.33448480960323185,0.052952,1.0
avg_common_neighbors_all_pairs,0,9.257472824999999,23.18983357798866,0.0799,126.713799
num_components,0,1.7,3.188118969565371,1.0,21.0
largest_component_size,0,148.05,85.0646662010581,34.0,379.0
largest_component_ratio,0,0.997193,0.010977921565462007,0.93266,1.0
max_core,0,18.925,25.13694543179472,2.0,122.0
deg_assortativity,0,-0.056750875,0.13382558819620743,-0.475613,0.325387
avg_path_length_lcc,0,2.644683175,1.129263037045772,1.00916,6.125593
diameter_lcc,0,5.45,3.079710276083675,2.0,17.0
